Sample_Index,Amplitude
0,-0.0001796561948381016
1,-6.810624856286604e-06
2,-0.00016963725000573306
3,-4.671876128920601e-06
4,-0.0001570439363776013
5,-1.1047492933931001e-06
6,-0.00014188937526833504
7,3.7989373951427094e-06
8,-0.00012419549597705306
9,9.921245340385401e-06
10,-0.00010400009690833436
11,1.711383236856185e-05
12,-8.136518209041317e-05
13,2.5193181708897147e-05
14,-5.638611227969076e-05
15,3.393577687210796e-05
16,-2.9201034400677067e-05
17,4.307370939694316e-05
18,-5.0479992723798294e-18
19,5.229123674557555e-05
20,3.096684419793489e-05
21,6.122281249247155e-05
22,6.338261049486881e-05
23,6.945308888973185e-05
24,9.68591572413811e-05
25,7.651934250530301e-05
26,0.00013093523920763291
27,8.191669764734921e-05
28,0.00016507776675339067
29,8.510642157567627e-05
30,0.0001986865089515034
31,8.552744302726538e-05
32,0.00023110244372913756
33,8.261110534273185e-05
34,0.000261619808631335
35,7.579901238025978e-05
36,0.00028950174427288703
37,6.456366510201068e-05
38,0.00031399925490810957
39,4.843142544332937e-05
40,0.00033437304329121887
41,2.7007188410648466e-05
42,0.00034991761686518463
43,-1.2384681064477408e-18
44,0.0003599869160726169
45,-3.275126594104101e-05
46,0.0003640205897709566
47,-7.12531581713226e-05
48,0.00036156994342515945
49,-0.00011533488082906534
50,0.00035232251829105533
51,-0.00016462859687440724
52,0.0003361242286011237
53,-0.000218553884891635
54,0.00031299799208803
55,-0.000276307384848163
56,0.00028315783899112145
57,-0.0003368585788687398
58,0.0002470175765206639
59,-0.0003989525215691602
60,0.00020519321862710175
61,-0.0004611201630140282
62,0.00015849856232574012
63,-0.0005216966994632003
64,0.00010793349773493648
65,-0.0005788481477813657
66,5.466487393729316e-05
67,-0.0006306060751102086
68,1.104832668177732e-17
69,-0.0006749101337646679
70,-5.464686790056865e-05
71,-0.0007096577609473711
72,-0.0001077944251106681
73,-0.0007327601131737216
74,-0.00015793970140311732
75,-0.0007422030261376541
76,-0.0002036077669510007
77,-0.0007361115321629539
78,-0.00024340436387896482
79,-0.0007128162392578407
80,-0.00027606986253867676
81,-0.0006709196874982893
82,-0.00030053278007512527
83,-0.0006093606585543757
84,-0.0003159609869485829
85,-0.0005274743300449528
86,-0.0003218086714789573
87,-0.00042504614400954154
88,-0.0003178571382607058
89,-0.00030235730237346313
90,-0.00030424758676261924
91,-0.00016021991419666769
92,-0.0002815041529163174
93,1.4580937022808815e-18
94,-0.0002505456982445587
95,0.00017637319435140944
96,-0.00021268509518124513
97,0.00036641281196174793
98,-0.0001696150786026024
99,0.0005670957991069093
100,-0.00012338010506444925
101,0.0007749005769933225
102,-7.633407370962234e-05
103,0.0009858609769819162
104,-3.108420541336955e-05
105,0.0011956359675617232
106,9.578162858516253e-06
107,0.0013995942110893713
108,4.2758646770115146e-05
109,0.0015929119996036046
110,6.555106990176172e-05
111,0.0017706826466821098
112,7.51367988330828e-05
113,0.0019280349713024607
114,6.888966008302966e-05
115,0.002060258114679994
116,4.4483602903099475e-05
117,0.0021629295960246806
118,1.0514504967087e-18
119,0.002232043250836218
120,-6.596871588990063e-05
121,0.0022641335168655592
122,-0.0001542224882382324
123,0.0022563924473195172
124,-0.0002648675658529066
125,0.0022067758450152646
126,-0.0003972442561234079
127,0.0021140950290905627
128,-0.0005498716421521821
129,0.0019780909687562927
130,-0.0007204121100797056
131,0.0017994878446417407
132,-0.0009056581410737303
133,0.0015800235226630334
134,-0.0011015433389076497
135,0.0013224549401351653
136,-0.0013031790984213247
137,0.0010305369982420466
138,-0.0015049176848423965
139,0.0007089742154626596
140,-0.0017004418038775394
141,0.0003633451072244878
142,-0.0018828800147602355
143,1.1395705804962794e-17
144,-0.0020449465919433088
145,-0.00037406625621727693
146,-0.002179103695991925
147,-0.0007513644651579498
148,-0.0022777429913716754
149,-0.0011240812202004378
150,-0.002333383169316538
151,-0.0014842653985709254
152,-0.0023388792184599687
153,-0.0018240268141259636
154,-0.0022876387540765805
155,-0.0021357423188223435
156,-0.0021738402866685012
157,-0.0024122642390138303
158,-0.0019926479981282933
159,-0.0026471257497349262
160,-0.0017404174120670842
161,-0.0028347376400335213
162,-0.001414886304227675
163,-0.002970570913717934
164,-0.0010153453058464913
165,-0.0030513198075418605
166,-0.0005427829102713361
167,-0.003075040093853847
168,-2.8283399749737137e-17
169,-0.0030412579640641136
170,0.0006083104374952999
171,-0.002951045355830299
172,0.001275522050311187
173,-0.0028070582794981393
174,0.00199307515529693
175,-0.002613535503088331
176,0.002750519985281371
177,-0.0023762558514856978
178,0.0035356040704445785
179,-0.002102453342734259
180,0.004334403608443237
181,-0.0018006903980483096
182,0.0051314975724700345
183,-0.0014806903956657781
184,0.005910182186717772
185,-0.001153131863719975
186,0.006652722290958174
187,-0.0008294075945539884
188,0.007340635046098907
189,-0.0005213528825521676
190,0.007955000425439354
191,-0.00024094790985632175
192,0.00847679201449782
193,-1.4346745492618847e-17
194,0.008887220825045282
195,0.00019018800000042372
196,0.009168084131177569
197,0.00031915659097568404
198,0.009302110765830991
199,0.00037762898090529636
200,0.009273293876487511
201,0.0003578442574365735
202,0.009067201820640488
203,0.0002538780574158705
204,0.008671257664089443
205,6.19450783408549e-05
206,0.008074977590909273
207,-0.00021932121552269571
208,0.007270158383000598
209,-0.0005886149240875148
210,0.006251003887601064
211,-0.0010417313983516056
212,0.005014179924603511
213,-0.00157136705465177
214,0.003558786183105078
215,-0.002166940688969335
216,0.0018862319993746756
217,-0.002814427065997882
218,5.593048759959009e-17
219,-0.0034961871910871444
220,-0.0020947233562297073
221,-0.0041907705906468785
222,-0.004391579589116695
223,-0.004872651521099349
224,-0.0068837754071411975
225,-0.005511840509865768
226,-0.009565091442984017
227,-0.006073280038623695
228,-0.012431267770856536
229,-0.0065158793933504065
230,-0.015481939217293489
231,-0.006790951395443049
232,-0.018723414171571893
233,-0.006839648582345911
234,-0.022172813395888676
235,-0.006588687258151118
236,-0.02586451481759322
237,-0.005943038854021756
238,-0.029860722493606662
239,-0.004772995587321258
240,-0.034269863896356306
241,-0.0028901660924695975
242,-0.039280920937159326
243,-6.554998849046554e-17
244,-0.0452330907904032
245,0.0044004418250434335
246,-0.0527728560997587
247,0.011269623193044967
248,-0.06326166759185879
249,0.022725616530366973
250,-0.08007224079176786
251,0.044628629547668955
252,-0.11432808538382493
253,0.10156098837385874
254,-0.23655689400240834
255,0.6113318321615173
256,0.6113318321615173
257,-0.23655689400240834
258,0.10156098837385874
259,-0.11432808538382493
260,0.044628629547668955
261,-0.08007224079176786
262,0.022725616530366973
263,-0.06326166759185879
264,0.011269623193044967
265,-0.0527728560997587
