Sample_Index,Amplitude
0,-3.1637195869985374e-05
1,0.0002362260914877376
2,-4.744831013554836e-05
3,0.00020015009624304263
4,-6.601945099208152e-05
5,0.00016102799016516948
6,-8.755504213526782e-05
7,0.00011748957715451972
8,-0.00011220248824630591
9,6.80877838824543e-05
10,-0.0001399645382791897
11,1.141499455060433e-05
12,-0.000170607522711259
13,-5.3774622326222676e-05
14,-0.00020357111021540684
15,-0.00012844301807618836
16,-0.00023788554837457659
17,-0.00021315288811460677
18,-0.0002721024021409118
19,-0.0003079654870048095
20,-0.0003042445699491033
21,-0.0004123577936546745
22,-0.00033178083966245556
23,-0.0005251645852622232
24,-0.00035162945588097013
25,-0.0006445501045066586
26,-0.00036019412954467424
27,-0.0007680128846841032
28,-0.0003534346645238544
29,-0.0008924259707283216
30,-0.00032697294853931293
31,-0.0010141132887341445
32,-0.00027623351053687614
33,-0.001128961329076078
34,-0.00019661624358223347
35,-0.0012325636807044187
36,-8.369729601299242e-05
37,-0.0013203943524427847
38,6.654738934739329e-05
39,-0.0013880043077717907
40,0.00025750279151266634
41,-0.0014312342876382114
42,0.0004916678676832414
43,-0.0014464358618771118
44,0.0007704099552627484
45,-0.0014306917875961673
46,0.0010937301374962347
47,-0.0013820262068296866
48,0.0014600494553533123
49,-0.0012995950191612765
50,0.0018660257385451047
51,-0.0011838469381786208
52,0.0023064103310460704
53,-0.001036646289816175
54,0.0027739531020264004
55,-0.0008613495273379519
56,0.003259362876991884
57,-0.0006628286984517014
58,0.0037513288256434724
59,-0.00044743666678972023
60,0.004236606445216692
61,-0.00022291071101400084
62,0.004700169635284327
63,1.7868639764917125e-06
64,0.005125428036292599
65,0.00021669034254691522
66,0.005494506370547792
67,0.00041111152048033036
68,0.005788580055926554
69,0.0005739749125506908
70,0.005988258934379961
71,0.0006942002750989314
72,0.006074008640469727
73,0.0007611237730551975
74,0.006026596992059604
75,0.0007649477685061539
76,0.005827550863887442
77,0.0006972083039553623
78,0.005459607332029288
79,0.0005512490023320602
80,0.0049071414506698455
81,0.0003226904209248994
82,0.004156551798534116
83,9.885009777806729e-06
84,0.0031965838096594296
85,-0.00038565009515135096
86,0.002018569697853688
87,-0.0008588269331277966
88,0.0006165621886484409
89,-0.0014006068890817223
90,-0.0010126632119975016
91,-0.001997639880917556
92,-0.0028697668634361413
93,-0.0026319052858240384
94,-0.004953201200409283
95,-0.0032803227325715616
96,-0.007259813591228474
97,-0.003914278940288899
98,-0.009785766422734366
99,-0.004498982576924724
100,-0.012527882373113277
101,-0.00499250359021425
102,-0.015485588743786067
103,-0.005344259367382015
104,-0.01866375354228225
105,-0.0054925431680417115
106,-0.022076926967456913
107,-0.005360379455441918
108,-0.025755929697714876
109,-0.004848380270254683
110,-0.02975860000872148
111,-0.003822003095359591
112,-0.034188396294849224
113,-0.002087758468051157
114,-0.03922895154300929
115,0.0006540413976918388
116,-0.04521396552796495
117,0.004911283148713744
118,-0.052784501512872194
119,0.011646956828659096
120,-0.06329687031337121
121,0.02298299425619363
122,-0.08011905200584278
123,0.04478244934191245
124,-0.11437002878176769
125,0.1016283402703037
126,-0.23656988500526835
127,0.6113032818257782
128,0.6113032818257782
129,-0.23656988500526835
130,0.1016283402703037
131,-0.11437002878176769
132,0.04478244934191245
133,-0.08011905200584278
134,0.02298299425619363
135,-0.06329687031337121
136,0.011646956828659096
137,-0.052784501512872194
138,0.004911283148713744
139,-0.04521396552796495
140,0.0006540413976918388
141,-0.03922895154300929
142,-0.002087758468051157
143,-0.034188396294849224
144,-0.003822003095359591
145,-0.02975860000872148
146,-0.004848380270254683
147,-0.025755929697714876
148,-0.005360379455441918
149,-0.022076926967456913
150,-0.0054925431680417115
151,-0.01866375354228225
152,-0.005344259367382015
153,-0.015485588743786067
154,-0.00499250359021425
155,-0.012527882373113277
156,-0.004498982576924724
157,-0.009785766422734366
158,-0.003914278940288899
159,-0.007259813591228474
160,-0.0032803227325715616
161,-0.004953201200409283
162,-0.0026319052858240384
163,-0.0028697668634361413
164,-0.001997639880917556
165,-0.0010126632119975016
166,-0.0014006068890817223
167,0.0006165621886484409
168,-0.0008588269331277966
169,0.002018569697853688
170,-0.00038565009515135096
171,0.0031965838096594296
172,9.885009777806729e-06
173,0.004156551798534116
174,0.0003226904209248994
175,0.0049071414506698455
176,0.0005512490023320602
177,0.005459607332029288
178,0.0006972083039553623
179,0.005827550863887442
180,0.0007649477685061539
181,0.006026596992059604
182,0.0007611237730551975
183,0.006074008640469727
184,0.0006942002750989314
185,0.005988258934379961
186,0.0005739749125506908
187,0.005788580055926554
188,0.00041111152048033036
189,0.005494506370547792
190,0.00021669034254691522
191,0.005125428036292599
192,1.7868639764917125e-06
193,0.004700169635284327
194,-0.00022291071101400084
195,0.004236606445216692
196,-0.00044743666678972023
197,0.0037513288256434724
198,-0.0006628286984517014
199,0.003259362876991884
200,-0.0008613495273379519
201,0.0027739531020264004
202,-0.001036646289816175
203,0.0023064103310460704
204,-0.0011838469381786208
205,0.0018660257385451047
206,-0.0012995950191612765
207,0.0014600494553533123
208,-0.0013820262068296866
209,0.0010937301374962347
210,-0.0014306917875961673
211,0.0007704099552627484
212,-0.0014464358618771118
213,0.0004916678676832414
214,-0.0014312342876382114
215,0.00025750279151266634
216,-0.0013880043077717907
217,6.654738934739329e-05
218,-0.0013203943524427847
219,-8.369729601299242e-05
220,-0.0012325636807044187
221,-0.00019661624358223347
222,-0.001128961329076078
223,-0.00027623351053687614
224,-0.0010141132887341445
225,-0.00032697294853931293
226,-0.0008924259707283216
227,-0.0003534346645238544
228,-0.0007680128846841032
229,-0.00036019412954467424
230,-0.0006445501045066586
231,-0.00035162945588097013
232,-0.0005251645852622232
233,-0.00033178083966245556
234,-0.0004123577936546745
235,-0.0003042445699491033
236,-0.0003079654870048095
237,-0.0002721024021409118
238,-0.00021315288811460677
239,-0.00023788554837457659
240,-0.00012844301807618836
241,-0.00020357111021540684
242,-5.3774622326222676e-05
243,-0.000170607522711259
244,1.141499455060433e-05
245,-0.0001399645382791897
246,6.80877838824543e-05
247,-0.00011220248824630591
248,0.00011748957715451972
249,-8.755504213526782e-05
250,0.00016102799016516948
251,-6.601945099208152e-05
252,0.00020015009624304263
253,-4.744831013554836e-05
254,0.0002362260914877376
255,-3.1637195869985374e-05
